IP,Latitude,Longitude
35.146.208.155,31.1138,-97.7283
74.221.98.79,31.0924,-97.3603
35.146.203.29,31.1093,-97.6713
12.75.178.110,32.8489,-96.9667
162.251.9.47,30.8413,-97.7936
74.125.77.16,32.7771,-79.9305
172.217.36.120,33.7485,-84.3871
172.253.192.249,41.2591,-95.8517
74.125.114.5,37.751,-97.822
172.253.192.255,41.2591,-95.8517
172.217.36.190,33.7485,-84.3871
172.217.36.122,33.7485,-84.3871
172.217.36.182,33.7485,-84.3871
24.27.118.20,30.8225,-97.5928
107.115.180.81,30.2095,-97.7972
216.102.22.104,29.9502,-96.2572
72.176.165.212,31.0065,-97.8406
35.146.206.64,31.1138,-97.7283
104.36.120.54,30.8782,-97.4017
170.39.89.218,30.6622,-97.931
35.146.187.134,31.1093,-97.6713
104.36.120.55,30.8782,-97.4017
12.75.178.21,32.7226,-97.0785
71.221.77.6,31.0065,-97.8406
38.186.117.92,31.0835,-97.6597
50.96.40.6,31.2973,-96.8919
38.124.85.47,31.3866,-97.2156
35.147.115.129,31.0685,-97.3918
35.147.116.73,31.0685,-97.3918
12.75.178.119,32.7226,-97.0785
23.112.32.136,31.056,-97.4644
35.147.115.28,31.0685,-97.3918
24.155.0.130,31.0827,-97.3362
150.221.148.155,31.0685,-97.3918
162.251.9.46,30.8413,-97.7936
35.146.47.50,31.056,-97.4644
66.217.228.111,30.9446,-97.5342
24.155.125.162,30.8009,-97.4304
12.74.87.76,41.8883,-87.7613
35.147.116.139,31.0685,-97.3918
35.147.117.66,31.0685,-97.3918
12.202.229.138,31.056,-97.4644
24.243.188.235,31.135,-97.776
35.147.116.64,31.0685,-97.3918
170.39.89.223,30.6622,-97.931
23.127.74.199,31.0924,-97.3603
70.118.128.157,31.0065,-97.8406
216.102.22.118,30.33,-95.0202
72.48.94.98,31.0827,-97.3362
72.176.41.8,31.0685,-97.3918
67.79.54.151,31.056,-97.4644
35.147.117.86,31.0685,-97.3918
72.176.32.251,31.0685,-97.3918
65.131.234.152,31.0065,-97.8406
172.253.218.62,33.5226,-86.8033
172.253.218.49,33.5226,-86.8033
35.147.116.155,31.0685,-97.3918
172.253.218.50,33.5226,-86.8033
172.253.218.60,33.5226,-86.8033
74.125.182.101,41.2591,-95.8517
74.125.182.106,41.2591,-95.8517
199.116.54.22,30.9446,-97.5342
72.169.80.14,43.0382,-87.91
76.183.91.77,31.0065,-97.8406
